route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
P17-164,1609-Liberty-Weekday-31,9915-1387358,Outbound-LINCOLN PARK FLYER LINKED TO 79 EAST HILLS,0,086 -314,P170049
P12-164,1609-Liberty-Weekday-31,9916-1387293,Outbound-HOLIDAY PARK FLYER,0,P67 -446,P120055
P16-164,1609-Liberty-Weekday-31,9917-1387345,Outbound-PENN HILLS-UNIVERSAL FLYER TO CENTER,0,P16 -427,P160153
P68-164,1609-Liberty-Weekday-31,9918-1387287,Inbound-BRADDOCK HILLS FLYER TO MONROEVILLE MALL,1,068 -056,P680064
P67-164,1609-Liberty-Weekday-31,9919-1387397,Outbound-MONROEVILLE FLYER,0,082 -282,P670059
P12-164,1609-Liberty-Weekday-31,9920-1387119,Outbound-HOLIDAY PARK FLYER,0,P12 -414,P120055
P16-164,1609-Liberty-Weekday-31,9921-1387127,Outbound-PENN HILLS-LEECHBURG FLYER TO HULTON ARBORS & HARMAR,0,P16 -426,P160152
P67-164,1609-Liberty-Weekday-31,9922-1387238,Outbound-MONROEVILLE FLYER,0,P16 -428,P670059
P12-164,1609-Liberty-Weekday-31,9923-1387286,Outbound-HOLIDAY PARK FLYER,0,P67 -445,P120055
P17-164,1609-Liberty-Weekday-31,9924-1387574,Outbound-LINCOLN PARK FLYER LINKED TO 79 EAST HILLS,0,075 -243,P170049
